"V1" "V2" "V3" "V5" "V6"
"1" 0.2806689404775 0.317750293127577 0.591985303359811 0.367962171301069 0.668095267662445
"2" 0.420508306744416 0.384242974393888 0.379083059199882 0.709442257164676 0.487991956150744
"3" 0.0831774672681263 0.360074132909717 0.571750673696678 0.505467926291012 0.615777289278084
"4" 0.138739135218396 0.637089148606225 0.409370287395019 0.584912585400437 0.757231067644643
"5" 0 0.611823442641552 0.233485766584702 0.534571082240454 0.180103311511701
"6" 0.431510617229618 0.890540489428496 0.467514287201733 0.418771559011734 0.307888644639042
"7" 0.332049730443393 0.581489466318696 0.478616727926637 0.560812342124677 0.407006649445141
"8" 0.34657278028386 0.674420363856424 0.596587351328683 0.517300186040678 0.407006649445141
"9" 0.238420068214325 0.326373917319112 0.155883732709602 0.64219390044515 0.307888644639042
"10" 0.14985146880845 0.290782556072469 0.377026519013793 0.467098739939641 0.180103311511701
"11" 0.664099460886786 0.411702409319566 0.588505004583352 0.631017521484672 0.407006649445141
"12" 0.57278028385961 0.423881387344453 0.39401095229891 0.526030901032636 0.831434724747898
"13" 0.599405875233799 0.349445894322781 0.303983388907856 0.58207646826281 0.407006649445141
"14" 0.536692705468148 0.399863837512765 0.083842986176886 0.0525515735128513 0.180103311511701
"15" 0.0257454065353724 0.414312190324899 0.430942387249106 0.083869454095945 0.407006649445141
"16" 0.717350643635163 0.321192178221567 0.668551876441915 0.691546903408556 0.556464057334018
"17" 0.483111453405215 0.183630243201331 0.125236969516897 0.191591156131193 0.407006649445141
"18" 0.236109583012433 0.312190324898824 0.530461674575957 0.381699488987593 0.307888644639042
"19" 0.389921883595555 0.448920155830402 0.226640220231006 0.503781489435948 0.556464057334018
"20" 0.272747276928155 0.2214531563221 0.507868495328778 0.429158359604295 0.407006649445141
"21" 0.496094179777753 0.368319527970044 0.527024519999206 0.68050168352832 0.487991956150744
"22" 0.357795136978766 0.425886001739854 0.804010282125674 0.646684378251947 1
"23" 0.017163604356915 0.598093725178713 0.460812554847064 0.149153642865564 0.307888644639042
"24" 0.246231708658818 0.661560573395363 0.567436253725861 0.670334841768727 0.757231067644643
"25" 0.107712619650126 0.330761375241121 0.578337354852126 0.596303773731594 0.407006649445141
"26" 0.17163604356915 0.539316918189039 0.461200852644437 0.480260396972666 0.714895294084183
"27" 0.502365496754319 0.215250198570294 0.309160692872837 0.47629954986176 0.615777289278084
"28" 0.0838376058972384 0.216725292182004 0.319256435604549 0.580067345988723 0.307888644639042
"29" 0.141819782154253 0.315670032905934 0.111954308566741 0.39626428018021 0.407006649445141
"30" 0.22070634833315 0.178221566625061 0.186659928501432 0.293178417627294 0.487991956150744
