15.657	48.78	2.5791	91.228	36.892	20
22.158	39.904	0.41975	80.245	29.842	30
17.905	46.691	3.8081	80.356	38.617	90
19.63	38.629	1.2269	99.852	16.975	100
20.975	34.706	0.62561	89.813	49.76	50
16.73	39.159	4.6084	79.689	43.406	90
17.648	38.685	1.3204	86.055	25.871	30
21.647	41.741	6.6385	85.905	42.045	190
17.231	44.656	3.2899	90.405	33.972	60
17.829	39.974	0.78787	94.669	17.622	30
24.588	36.905	3.2407	99.873	21.545	190
18.288	44.367	4.5509	84.562	36.062	110
20.433	38.905	1.8442	94.293	26.805	50
17.683	38.551	1.8811	82.377	41.356	60
16.531	34.523	2.2323	92.81	18.792	60
16.299	34.212	4.373	80.243	54.621	60
20.394	37.497	4.0905	77.557	41.757	60
18.891	39.21	1.5976	89.09	26.683	60
20.805	38.858	0.19257	88.49	31.025	50
16.35	39.707	1.7247	88.494	25.488	20
19.833	33.509	3.8715	78.327	33.383	80
16.028	40.804	1.5371	89.414	37.389	50
19.887	35.516	3.4648	82.722	35.833	100
18.816	36.798	2.3325	84.578	27.24	40
21.185	35.798	3.3377	82.35	34.337	50
19.802	37.125	3.9261	80.154	27.411	50
15.937	41.444	3.0783	86.286	24.109	40
16.604	37.067	3.2053	89.331	26.121	70
18.903	46.732	4.1964	70.872	40.639	50
19.517	39.392	1.8055	79.228	29.605	50
19.978	36.629	4.055	70.424	42.388	40
17.75	39.517	3.2633	82.811	34.445	130
16.58	30.596	1.2136	84.753	25.927	50
17.726	36.559	1.9286	91.347	36.887	50
19.399	32.809	3.2837	82.032	36.835	60
20.623	34.216	4.227	77.469	36.859	80
16.813	35.63	3.2632	81.849	39.948	80
22.504	48.978	6.6971	76.914	40.884	200
17.976	42.908	3.5308	79.572	35.036	30
16.764	36.617	2.7718	74.997	39.354	50
15.904	46.721	3.6766	80.602	32.219	60
16.165	42.92	3.647	79.095	22.391	50
19.212	36.868	0.56493	94.026	22.12	50
19.848	53.462	5.6608	86.023	41.806	110
16.15	32.963	3.3041	85.045	37.547	60
